review_id,sentiment,score
ChdDSUhNMG9nS0VJQ0FnSUQ1OXRHZnNnRRAB,POSITIVE,0.909106433391571
ChZDSUhNMG9nS0VJQ0FnSUNwOUstOVpBEAE,NEGATIVE,0.9992159605026244
ChZDSUhNMG9nS0VJQ0FnSURwbGZXTUJ3EAE,NEGATIVE,0.9986901879310608
ChdDSUhNMG9nS0VJQ0FnSURwdzd1Q3B3RRAB,NEGATIVE,0.99913090467453
ChZDSUhNMG9nS0VJQ0FnSURKdnFxeWVnEAE,NEGATIVE,0.9992039799690248
ChdDSUhNMG9nS0VJQ0FnSURwMjdUaDZnRRAB,POSITIVE,0.9590722322463988
ChZDSUhNMG9nS0VJQ0FnSURwanVHVkpnEAE,POSITIVE,0.9846159815788268
ChdDSUhNMG9nS0VJQ0FnSURKbkk3c25BRRAB,NEGATIVE,0.9984068274497986
ChZDSUhNMG9nS0VJQ0FnSURaNlBlZEV3EAE,POSITIVE,0.9926844835281372
ChZDSUhNMG9nS0VJQ0FnSUNwenZLN1N3EAE,NEGATIVE,0.9995213747024536
ChdDSUhNMG9nS0VJQ0FnSUNabjhDLTdnRRAB,NEGATIVE,0.9977625608444214
ChZDSUhNMG9nS0VJQ0FnSURBNEp2TlJREAE,NEGATIVE,0.8878568410873413
ChZDSUhNMG9nS0VJQ0FnSURwc2QyUmF3EAE,NEGATIVE,0.9994996786117554
ChdDSUhNMG9nS0VJQ0FnSUNwMFBESm1BRRAB,NEGATIVE,0.9994354844093324
ChdDSUhNMG9nS0VJQ0FnSUQ1M1BHTnZRRRAB,NEGATIVE,0.9996439218521118
ChZDSUhNMG9nS0VJQ0FnSURad3Bpb0RREAE,NEGATIVE,0.926832675933838
ChdDSUhNMG9nS0VJQ0FnSURaaGQybjBRRRAB,NEGATIVE,0.9995691180229188
ChZDSUhNMG9nS0VJQ0FnSURwdzRmTFVBEAE,POSITIVE,0.9998455047607422
ChdDSUhNMG9nS0VJQ0FnSURwaU9ia3lRRRAB,POSITIVE,0.999841809272766
ChZDSUhNMG9nS0VJQ0FnSURwbGNUZ1NBEAE,POSITIVE,0.991300880908966
ChZDSUhNMG9nS0VJQ0FnSUNSbnFpTlRBEAE,NEGATIVE,0.9974215030670166
ChZDSUhNMG9nS0VJQ0FnSUNSeW8yQmFBEAE,NEGATIVE,0.9990731477737428
ChZDSUhNMG9nS0VJQ0FnSURwaU9yelZnEAE,POSITIVE,0.9995417594909668
ChdDSUhNMG9nS0VJQ0FnSURCcmJlUndnRRAB,NEGATIVE,0.9996565580368042
ChZDSUhNMG9nS0VJQ0FnSUNwc055aVlBEAE,POSITIVE,0.9989981055259703
ChdDSUhNMG9nS0VJQ0FnSURKMGJYS3ZnRRAB,NEGATIVE,0.998759150505066
ChZDSUhNMG9nS0VJQ0FnSURwbGNTQVNnEAE,POSITIVE,0.990606129169464
ChZDSUhNMG9nS0VJQ0FnSURKb3U3UldBEAE,NEGATIVE,0.999472200870514
ChdDSUhNMG9nS0VJQ0FnSURad3RDQXd3RRAB,NEGATIVE,0.999763548374176
ChdDSUhNMG9nS0VJQ0FnSUN4Ni1LOTBRRRAB,NEGATIVE,0.999242663383484
ChdDSUhNMG9nS0VJQ0FnSURwbGFTdTF3RRAB,POSITIVE,0.9997716546058656
ChdDSUhNMG9nS0VJQ0FnSUNSX2NpdjFnRRAB,NEGATIVE,0.9991766810417176
ChZDSUhNMG9nS0VJQ0FnSURwdzd1SENBEAE,POSITIVE,0.9998657703399658
ChdDSUhNMG9nS0VJQ0FnSURoNGVUVHZ3RRAB,NEGATIVE,0.9992238283157348
ChZDSUhNMG9nS0VJQ0FnSURSbG9lZkNBEAE,NEGATIVE,0.9991280436515808
ChZDSUhNMG9nS0VJQ0FnSUNSNzZhc0xREAE,POSITIVE,0.9453309774398804
ChdDSUhNMG9nS0VJQ0FnSURaOUxlcG9BRRAB,NEGATIVE,0.9974084496498108
ChZDSUhNMG9nS0VJQ0FnSURoNUlLTkJ3EAE,NEGATIVE,0.987719178199768
ChdDSUhNMG9nS0VJQ0FnSURoM05mNnhRRRAB,NEGATIVE,0.992837131023407
ChdDSUhNMG9nS0VJQ0FnSURwbGJLS3lnRRAB,POSITIVE,0.999771535396576
ChdDSUhNMG9nS0VJQ0FnSUR4cUxQOTNnRRAB,POSITIVE,0.9990941286087036
ChdDSUhNMG9nS0VJQ0FnSUN4OVpLdS13RRAB,NEGATIVE,0.998057782649994
ChZDSUhNMG9nS0VJQ0FnSURodW9DN0xnEAE,NEGATIVE,0.9994244575500488
ChZDSUhNMG9nS0VJQ0FnSUNack5UYWJREAE,NEGATIVE,0.9982028007507324
ChZDSUhNMG9nS0VJQ0FnSURobFB5MWJREAE,NEGATIVE,0.9998109936714172
ChdDSUhNMG9nS0VJQ0FnSURoLUwzUWd3RRAB,NEGATIVE,0.998805046081543
ChZDSUhNMG9nS0VJQ0FnSURac1BULUpREAE,NEGATIVE,0.998448133468628
ChdDSUhNMG9nS0VJQ0FnSUQ1eHBxVi1BRRAB,POSITIVE,0.9860244393348694
ChdDSUhNMG9nS0VJQ0FnSUNCbkx1R25BRRAB,NEGATIVE,0.9880796074867249
ChdDSUhNMG9nS0VJQ0FnSURoNUlhMDV3RRAB,NEGATIVE,0.9946982860565186
